figure_number,filename,path
1,figure_001.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_001.png
1,figure_002.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_002.png
1,figure_003.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_003.png
1,figure_004.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_004.png
1,figure_005.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_005.png
1,figure_006.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_006.png
1,figure_007.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_007.png
1,figure_008.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_008.png
1,figure_009.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_009.png
1,figure_010.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_010.png
1,figure_011.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_011.png
1,figure_012.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_012.png
1,figure_013.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_013.png
1,figure_014.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_014.png
1,figure_015.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_015.png
1,figure_016.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_016.png
1,figure_017.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_017.png
1,figure_018.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_018.png
1,figure_019.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_019.png
